iter	Passed	Remaining
469	709	800
470	711	798
471	714	798
472	715	797
473	717	795
474	718	793
475	719	791
476	720	789
477	721	787
478	722	785
479	723	784
480	724	782
481	726	780
482	727	778
483	728	776
484	729	774
485	731	773
486	732	771
487	733	769
488	734	767
489	735	765
490	736	763
491	737	761
492	738	759
493	739	757
494	740	755
495	741	753
496	742	751
497	744	750
498	745	748
499	745	745
500	746	743
501	747	741
502	748	739
503	749	737
504	750	735
505	751	733
506	752	731
507	753	729
508	754	727
509	755	726
510	756	724
511	757	722
512	758	720
513	759	718
514	761	716
515	762	714
516	763	712
517	764	710
518	765	708
519	765	707
520	766	705
521	767	703
522	768	701
523	769	699
524	770	697
525	771	695
526	772	693
527	773	691
528	774	689
529	775	687
530	776	686
531	778	684
532	779	682
533	780	680
534	781	678
535	782	677
536	783	675
537	784	673
538	785	671
539	786	669
540	787	667
541	788	666
542	789	664
543	790	662
544	791	660
545	792	659
546	794	657
547	795	655
548	796	654
549	797	652
550	798	650
551	799	649
552	800	647
553	801	645
554	802	643
555	803	641
556	804	640
557	806	638
558	807	636
559	807	634
560	808	633
561	809	631
562	810	629
563	811	627
564	812	625
565	814	624
566	815	622
567	816	621
568	817	619
569	819	617
570	820	616
571	821	614
572	821	612
573	822	610
574	823	608
575	824	607
576	825	605
577	826	603
578	827	601
579	828	599
580	829	598
581	830	596
582	831	594
583	832	593
584	833	591
585	834	589
586	835	588
587	836	586
588	837	584
589	838	582
590	839	581
591	840	579
592	841	577
593	842	575
594	843	574
595	845	572
596	846	571
597	847	569
598	848	567
599	849	566
600	850	564
601	851	562
602	852	561
603	853	559
604	854	557
605	855	555
606	855	554
607	856	552
608	858	550
609	859	549
610	860	547
611	861	546
612	862	544
613	863	542
614	864	541
615	865	539
616	866	538
617	867	536
618	868	534
619	869	533
620	870	531
621	871	529
622	873	528
623	874	527
624	875	525
625	876	523
626	877	522
627	879	520
628	879	519
629	880	517
630	881	515
631	882	514
632	883	512
633	884	510
634	885	509
635	886	507
636	888	506
637	889	504
638	890	503
639	891	501
640	892	499
641	893	498
642	894	496
643	895	495
644	896	493
645	897	491
646	898	490
647	899	488
648	900	487
649	902	485
650	903	484
651	904	482
652	905	481
653	906	479
654	907	478
655	908	476
656	909	474
657	910	473
658	911	471
659	912	470
660	913	468
661	914	467
662	916	465
663	917	464
664	918	462
665	919	461
666	920	459
667	921	458
668	922	456
669	923	454
670	924	453
671	925	451
672	926	450
673	927	448
674	928	447
675	929	445
676	930	444
677	932	442
678	932	441
679	933	439
680	934	437
681	935	436
682	936	434
683	937	433
684	938	431
685	939	430
686	940	428
687	941	427
688	942	425
689	943	423
690	944	422
691	945	420
692	946	419
693	947	417
694	948	416
695	949	414
696	950	413
697	951	411
698	952	410
699	953	408
700	954	407
701	956	405
702	957	404
703	958	402
704	958	401
705	960	399
706	961	398
707	962	396
708	963	395
709	964	393
710	964	392
711	965	390
712	966	389
713	967	387
714	968	386
715	969	384
716	970	383
717	972	381
718	973	380
719	974	378
720	975	377
721	976	375
722	977	374
723	978	372
724	979	371
725	980	369
726	981	368
727	982	366
728	983	365
729	984	364
730	985	362
731	986	361
732	987	359
733	988	358
734	989	356
735	990	355
736	991	353
737	992	352
738	993	350
739	994	349
740	995	347
741	996	346
742	997	345
743	999	343
744	1000	342
745	1001	340
